14.0,30.0,75.0,1.326,46.0,50.0
18.0,36.0,75.0,1.195,93.0,33.0
27.0,67.0,239.0,1.366,100.0,86.0
24.0,79.0,198.0,1.701,142.0,83.0
14.0,55.0,158.0,1.286,92.0,60.0
13.0,35.0,109.0,1.116,127.0,62.0
13.0,39.0,108.0,1.245,61.0,52.0
14.0,44.0,74.0,1.439,25.0,47.0
13.0,45.0,86.0,1.382,116.0,49.0
13.0,37.0,58.0,1.065,44.0,33.0
16.0,37.0,36.0,0.785,70.0,17.0
27.0,55.0,79.0,1.026,40.0,31.0
19.0,55.0,81.0,1.091,36.0,32.0
24.0,68.0,103.0,1.342,102.0,42.0
20.0,56.0,144.0,1.124,119.0,44.0
14.0,39.0,91.0,1.029,95.0,39.0
14.0,30.0,85.0,0.94,103.0,42.0
16.0,35.0,69.0,1.009,87.0,35.0
17.0,37.0,71.0,1.119,126.0,32.0
14.0,25.0,109.0,1.161,117.0,68.0
13.0,25.0,20.0,1.009,42.0,10.0
18.0,31.0,46.0,1.04,73.0,19.0
25.0,35.0,50.0,0.995,97.0,22.0
18.0,22.0,57.0,0.913,80.0,25.0
18.0,21.0,70.0,0.951,82.0,39.0
18.0,24.0,87.0,0.989,92.0,51.0
28.0,42.0,127.0,1.227,145.0,68.0
18.0,35.0,140.0,1.357,168.0,84.0
14.0,33.0,182.0,1.76,143.0,119.0
15.0,37.0,122.0,1.378,105.0,78.0
13.0,28.0,36.0,0.868,58.0,12.0
13.0,34.0,48.0,1.002,97.0,23.0
15.0,52.0,111.0,1.293,71.0,58.0
20.0,52.0,84.0,1.199,132.0,34.0
21.0,49.0,89.0,1.115,86.0,28.0
21.0,51.0,93.0,1.088,132.0,34.0
14.0,39.0,88.0,0.98,103.0,32.0
11.0,19.0,67.0,0.884,86.0,27.0
14.0,33.0,91.0,1.25,91.0,46.0
14.0,31.0,76.0,1.312,47.0,43.0
13.0,36.0,105.0,1.312,165.0,59.0
14.0,33.0,57.0,1.208,39.0,31.0
19.0,39.0,73.0,1.234,146.0,35.0
17.0,45.0,128.0,1.391,163.0,72.0
24.0,41.0,113.0,1.349,92.0,46.0
16.0,25.0,47.0,1.23,105.0,22.0
14.0,22.0,33.0,1.133,79.0,12.0
16.0,29.0,58.0,1.211,133.0,26.0
14.0,30.0,97.0,1.463,141.0,57.0
12.0,23.0,79.0,1.618,94.0,51.0
17.0,41.0,131.0,1.53,57.0,76.0
19.0,45.0,65.0,1.228,107.0,28.0
14.0,50.0,97.0,1.372,56.0,57.0
13.0,33.0,47.0,1.265,56.0,26.0
15.0,45.0,91.0,1.482,88.0,39.0
16.0,48.0,107.0,1.445,142.0,61.0
14.0,31.0,61.0,1.392,44.0,33.0
14.0,34.0,73.0,1.606,95.0,53.0
14.0,40.0,137.0,1.926,124.0,103.0
13.0,39.0,168.0,1.763,122.0,97.0
15.0,36.0,165.0,1.638,133.0,90.0
16.0,27.0,73.0,0.899,82.0,33.0
15.0,38.0,42.0,1.048,50.0,18.0
17.0,47.0,98.0,1.166,158.0,48.0
17.0,50.0,147.0,1.169,135.0,66.0
13.0,35.0,74.0,1.065,104.0,34.0
14.0,30.0,88.0,1.012,106.0,42.0
15.0,35.0,99.0,1.038,99.0,52.0
14.0,39.0,88.0,0.964,106.0,45.0
14.0,44.0,121.0,0.986,115.0,55.0
14.0,27.0,65.0,0.747,47.0,21.0
16.0,38.0,45.0,0.947,55.0,23.0
16.0,43.0,89.0,1.149,100.0,45.0
17.0,51.0,138.0,1.423,123.0,63.0
16.0,32.0,68.0,1.053,87.0,34.0
18.0,37.0,104.0,1.175,115.0,47.0
15.0,28.0,95.0,1.006,93.0,46.0
13.0,24.0,88.0,0.862,109.0,44.0
20.0,38.0,103.0,0.87,126.0,55.0
23.0,47.0,135.0,0.946,118.0,54.0
26.0,34.0,121.0,1.008,140.0,48.0
31.0,33.0,120.0,1.075,156.0,60.0
24.0,39.0,149.0,1.186,164.0,94.0
22.0,41.0,146.0,1.123,141.0,86.0
40.0,38.0,200.0,1.285,187.0,141.0
36.0,51.0,249.0,1.674,149.0,164.0
42.0,46.0,168.0,1.959,170.0,98.0
22.0,45.0,160.0,1.283,101.0,87.0
18.0,33.0,70.0,0.979,50.0,36.0
20.0,43.0,68.0,1.036,99.0,28.0
21.0,47.0,78.0,0.879,91.0,26.0
33.0,54.0,123.0,1.201,107.0,58.0
35.0,40.0,131.0,1.345,114.0,79.0
33.0,51.0,183.0,1.69,147.0,116.0
28.0,44.0,135.0,1.376,85.0,96.0
30.0,49.0,95.0,1.182,109.0,58.0
27.0,60.0,136.0,1.328,131.0,73.0
29.0,62.0,172.0,1.55,71.0,90.0
31.0,63.0,168.0,1.596,97.0,120.0
30.0,53.0,145.0,1.458,111.0,85.0
35.0,59.0,174.0,1.55,120.0,91.0
29.0,52.0,189.0,1.658,147.0,111.0
28.0,69.0,91.0,1.46,92.0,39.0
30.0,64.0,138.0,1.579,110.0,52.0
18.0,25.0,87.0,1.118,97.0,34.0
21.0,40.0,129.0,1.313,87.0,62.0
22.0,42.0,133.0,1.37,135.0,63.0
23.0,39.0,91.0,1.363,69.0,59.0
20.0,36.0,57.0,1.389,62.0,37.0
29.0,42.0,174.0,2.412,106.0,123.0
22.0,28.0,74.0,1.146,35.0,33.0
35.0,41.0,93.0,1.332,37.0,34.0
33.0,57.0,117.0,1.554,27.0,57.0
41.0,65.0,143.0,1.412,56.0,81.0
49.0,72.0,169.0,1.766,93.0,97.0
31.0,76.0,132.0,2.01,65.0,66.0
38.0,102.0,313.0,2.312,144.0,196.0
23.0,63.0,213.0,1.559,111.0,147.0
34.0,91.0,278.0,1.992,114.0,179.0
33.0,78.0,288.0,2.064,110.0,189.0
30.0,66.0,210.0,1.651,122.0,139.0
40.0,88.0,280.0,2.082,101.0,196.0
32.0,69.0,223.0,1.887,98.0,125.0
36.0,78.0,313.0,2.124,132.0,178.0
24.0,61.0,175.0,1.721,77.0,78.0
41.0,81.0,213.0,1.964,95.0,95.0
35.0,92.0,263.0,2.367,144.0,131.0
19.0,36.0,98.0,1.209,49.0,36.0
21.0,39.0,67.0,1.342,39.0,42.0
26.0,47.0,97.0,1.788,21.0,64.0
31.0,59.0,154.0,1.931,35.0,107.0
28.0,63.0,171.0,2.235,33.0,118.0
30.0,70.0,149.0,2.478,44.0,98.0
35.0,69.0,127.0,1.972,55.0,63.0
47.0,87.0,207.0,2.202,57.0,109.0
34.0,77.0,175.0,2.073,57.0,101.0
51.0,68.0,172.0,1.926,52.0,76.0
54.0,74.0,215.0,1.843,42.0,118.0
60.0,85.0,263.0,2.345,44.0,140.0
45.0,88.0,326.0,3.138,66.0,240.0
46.0,74.0,300.0,2.746,29.0,200.0
18.0,44.0,111.0,1.788,23.0,68.0
15.0,42.0,61.0,1.904,13.0,45.0
15.0,45.0,89.0,1.757,25.0,49.0
19.0,49.0,124.0,1.876,28.0,58.0
29.0,54.0,159.0,2.062,27.0,96.0
