influenza_num,ave_C,min_C,max_C,ave_ws,ave_rh,ave_hpa,daily_precipitation,SO2,NO2,CO,PM2_5,PM10,O38h,AQI
372,11.0,7.7,16.9,3.3,53,960.6,1.4,45.0,72.0,2.22,121.0,263.0,45.0,159.0
306,13.5,8.9,21.0,1.9,59,964.3,0.0,45.0,89.0,2.329,116.0,236.0,61.0,152.0
277,15.2,8.5,24.6,2.1,47,963.1,0.0,45.0,80.0,2.634,147.0,309.0,83.0,196.0
337,13.9,11.2,20.2,4.2,27,966.3,0.0,41.0,51.0,1.991,87.0,278.0,79.0,164.0
470,9.0,7.3,14.2,4.2,45,967.7,0.0,55.0,69.0,2.614,101.0,207.0,25.0,133.0
428,11.5,4.8,20.5,2.0,63,968.9,4.1,30.0,64.0,2.598,94.0,158.0,88.0,124.0
407,15.1,6.7,26.1,1.2,48,962.7,0.0,45.0,87.0,2.917,90.0,227.0,67.0,139.0
314,18.3,10.8,25.9,1.3,38,964.8,0.0,52.0,84.0,2.928,92.0,239.0,74.0,145.0
367,14.1,9.3,21.0,3.8,50,964.6,0.0,49.0,68.0,2.561,142.0,283.0,62.0,189.0
243,15.4,8.8,23.2,2.3,52,967.1,0.0,55.0,82.0,2.772,162.0,299.0,91.0,212.0
289,13.7,10.0,18.7,3.6,62,966.9,0.0,42.0,70.0,3.052,175.0,275.0,71.0,225.0
466,15.7,9.9,22.5,1.3,52,969.5,0.0,39.0,81.0,3.161,157.0,317.0,94.0,207.0
446,13.2,10.3,18.6,4.0,33,969.8,0.0,65.0,75.0,2.766,92.0,222.0,38.0,136.0
421,15.7,9.7,21.5,2.5,48,961.3,0.0,57.0,82.0,2.93,121.0,227.0,106.0,159.0
240,13.6,12.0,18.9,3.7,73,960.3,4.1,32.0,63.0,2.618,120.0,225.0,49.0,158.0
363,10.6,8.0,12.8,3.3,59,974.3,2.9,22.0,39.0,2.057,46.0,167.0,60.0,109.0
238,10.5,4.5,17.6,1.6,46,970.6,0.0,24.0,57.0,2.267,57.0,147.0,72.0,99.0
356,13.2,5.2,21.9,2.6,42,961.4,0.0,39.0,78.0,2.673,76.0,180.0,72.0,115.0
