424,150
11177,737
9557,629
9052,583
8936,569
8003,607
4544,490
393,142
11088,753
10286,646
9748,591
9612,602
8690,561
4754,403
461,140
11050,709
9819,620
8473,476
7720,483
7916,526
3924,318
327,105
10893,623
9777,647
9422,585
9524,553
8611,547
4017,355
355,94
10943,702
9916,656
9374,608
8641,510
7872,450
3464,221
3378,241
6697,470
4606,330
299,44
238,60
296,63
2128,216
2283,315
2906,305
3694,306
8822,671
9618,607
9283,621
5856,534
378,93
11792,624
10802,560
9892,556
7820,520
8405,476
4601,388
328,76
11406,586
10796,649
10385,526
9646,553
9189,497
4901,331
387,104
11555,681
11074,621
10419,533
9254,567
9056,453
4572,348
384,123
11043,678
10052,513
9625,466
9189,559
8536,449
4213,296
449,128
11182,692
10201,647
9116,557
8834,499
8368,571
3732,318
325,93
4752,422
10666,642
10330,576
10131,640
9098,605
4764,378
429,129
11080,664
10379,696
9757,574
9470,678
8530,574
4357,313
337,107
11312,631
10206,585
10085,608
9952,605
8624,537
3993,311
364,118
10877,659
10366,635
9843,560
9346,664
391,119
3705,346
444,154
10191,674
10370,589
9578,537
9198,562
8351,551
4266,304
399,136
11127,708
10402,605
9303,576
9215,609
7775,494
4289,377
465,137
10520,688
9982,570
9350,580
9025,539
8076,488
4466,379
518,164
10640,722
9948,618
8739,575
8856,514
7795,449
4133,309
439,134
10410,767
9993,583
8990,502
8983,553
8303,480
4558,331
424,130
10462,754
9386,544
8978,549
7880,566
4344,380
409,139
10413,646
9579,559
9361,636
8535,511
7599,444
427,126
408,113
5481,396
9985,504
9023,375
8938,397
7587,410
4185,307
404,130
10300,558
9428,430
9101,428
9233,446
8181,412
4204,274
352,93
10816,586
9483,503
9188,460
8644,446
7837,421
4243,339
311,99
10882,615
9608,507
9073,458
9345,545
7815,475
3912,281
338,84
11005,638
9841,508
8861,427
8654,405
7506,419
4011,343
334,63
9615,510
8621,406
8269,426
7667,429
6467,344
3366,215
263,44
8515,356
8329,386
8472,436
7956,468
7705,378
3884,289
297,55
10164,578
9900,465
8568,444
8551,428
7852,373
3923,262
349,76
10976,609
9565,481
8770,438
8712,439
7729,334
3675,220
376,100
10952,578
9540,479
8694,432
9340,374
7614,388
3963,305
309,100
10186,643
9485,509
8826,458
328,74
4652,382
3810,399
6476,597
10415,680
9753,562
8972,550
8388,510
7778,460
4588,373
342,107
11043,649
10001,596
9129,588
9076,598
7856,522
4381,413
320,99
11182,716
9770,542
9212,617
8851,567
7829,578
3740,308
313,132
9890,619
9248,535
7776,505
387,147
391,116
340,81
4762,396
5097,420
4660,340
4733,426
10054,638
8967,466
5463,374
333,88
11109,654
10296,461
10033,555
9083,570
8192,490
4520,352
349,122
10984,645
9760,560
9260,542
9450,550
7716,485
4390,316
458,167
10260,532
9815,451
9305,484
8517,469
7484,519
4290,377
408,149
10496,654
9581,423
9091,501
8657,463
7529,513
4553,333
414,159
10583,675
8895,451
8382,454
7978,448
7964,515
4455,394
486,155
10630,665
9510,567
9080,555
9479,540
7839,472
4519,289
